07 Unicorn,Apoptygma Berzerk,,Harmonizer,,Electronic,7058374,251,,,,,2002,14/01/2014 16:45,18/06/2014 14:54,224,44100,,MPEG audio file,,                            ,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:Harmonizer:07 Unicorn.mp3
Non-Stop Violence -CNN Version,Apoptygma Berzerk,Stephan Grothesk,Non Stop Violence,,Metal,5539659,346,,,1,,1995,14/01/2014 16:45,18/06/2014 14:54,128,44100,,MPEG audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:Non Stop Violence:01 Non-Stop Violence -CNN Version.mp3
Weight of the World,Apoptygma Berzerk,Stephan L. Groth,Rocket Science,,Rock,13178178,371,1,1,1,15,2009,06/01/2015 19:45,01/10/2010 20:20,256,44100,,Purchased AAC audio file,,,,,,,
Asleep or Awake?,Apoptygma Berzerk,Stephan L. Groth,Rocket Science,,Rock,7890266,220,1,1,3,15,2009,06/01/2015 19:45,01/10/2010 20:20,256,44100,,Purchased AAC audio file,,,,,,,
Incompatible,Apoptygma Berzerk,Stephan L. Groth,Rocket Science,,Rock,13799670,393,1,1,4,15,2009,06/01/2015 19:45,01/10/2010 20:20,256,44100,,Purchased AAC audio file,,,,,,,
United States of Credit,Apoptygma Berzerk,Geir Bratland & Stephan L. Groth,Rocket Science,,Rock,3641272,93,1,1,5,15,2009,06/01/2015 19:45,01/10/2010 20:20,256,44100,,Purchased AAC audio file,,,,,,,
Shadow,Apoptygma Berzerk,Stephan L. Groth,Rocket Science,,Rock,10344681,298,1,1,6,15,2009,06/01/2015 19:45,01/10/2010 20:20,256,44100,,Purchased AAC audio file,,,,,,,
Green Queen,Apoptygma Berzerk,Stephan L. Groth,Rocket Science,,Rock,10331835,292,1,1,7,15,2009,06/01/2015 19:45,01/10/2010 20:20,256,44100,,Purchased AAC audio file,,,,,,,
Butterfly Defect,Apoptygma Berzerk,Stephan L. Groth,Rocket Science,,Rock,8499986,238,1,1,8,15,2009,06/01/2015 19:45,01/10/2010 20:20,256,44100,,Purchased AAC audio file,,,,,,,
Rocket Calculator,Apoptygma Berzerk,Stephan L. Groth,Rocket Science,,Rock,4641563,110,1,1,10,15,2009,06/01/2015 19:45,01/10/2010 20:20,256,44100,,Purchased AAC audio file,,,,,,,
Right,Apoptygma Berzerk,Stephan L. Groth,Rocket Science,,Rock,4941265,132,1,1,11,15,2009,06/01/2015 19:45,01/10/2010 20:20,256,44100,,Purchased AAC audio file,,,,,,,
Black vs. White,Apoptygma Berzerk,Stephan L. Groth,Rocket Science,,Rock,11945887,317,1,1,13,15,2009,06/01/2015 19:45,01/10/2010 20:20,256,44100,,Purchased AAC audio file,,,,,,,
Trash,Apoptygma Berzerk,Brett Anderson & Richard Oakes,Rocket Science,,Rock,5321698,146,1,1,14,15,2009,06/01/2015 19:45,01/10/2010 20:20,256,44100,,Purchased AAC audio file,,,,,,,
Starsign (Extended Version),Apoptygma Berzerk,,Septic II,,Other,8241574,320,,,4,,2000,14/01/2014 16:45,18/06/2014 14:54,96,44100,,MPEG audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Various Artists:Septic II:04 Starsign (Extended Version).mp3
Starsign (Extended Version),Apoptygma Berzerk,,Septic II,,Other,8241574,320,,,4,,,01/08/2014 21:02,01/08/2014 22:11,96,44100,,MPEG audio file,,,2,03/08/2014 01:08,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:Septic II:04 Starsign (Extended Version).mp3
Kathy's Song (Ferry Corsten RM,Apoptygma Berzerk,,The Singles Collection - Disc,,,11321096,471,,,5,,2003,14/01/2014 16:45,18/06/2014 14:54,192,44100,,MPEG audio file,,,56,06/06/2015 08:52,1,04/04/2015 23:27,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:The Singles Collection - Disc:05 Kathy's Song (Ferry Corsten RM.mp3
Starsign,Apoptygma Berzerk,Groth  Stephan L.,Welcome To Earth,,Alternative,9029561,335,,,2,,2000,14/01/2014 16:45,18/06/2014 14:54,256,44100,,MPEG audio file,,,74,06/06/2015 21:02,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:Welcome To Earth:02 Starsign.mp3
Starsign,Apoptygma Berzerk,,Welcome To Earth,,Alternative,9024857,335,,,2,,,01/08/2014 21:01,01/08/2014 22:11,256,44100,,MPEG audio file,,,9,24/05/2015 12:05,1,01/08/2014 23:24,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:Welcome To Earth:02 Starsign 1.mp3
Fade to Black,Apoptygma Berzerk,Cliff Burton/James Hetfield/Kirk Hammett/Lars Ulrich,Welcome To Earth,,Rock,5239710,327,,,8,,2000,14/01/2014 16:45,18/06/2014 14:54,128,44100,,MPEG audio file,,Created by Grip,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:Welcome To Earth:08 Fade to Black.mp3
Tuning In Again,Apoptygma Berzerk,,You And Me Against The World (ltd ed),,Industrial,1520445,75,,,1,13,2005,14/01/2014 16:45,18/06/2014 14:54,160,44100,,MPEG audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:You And Me Against The World (ltd ed):01 Tuning In Again.mp3
In This Together,Apoptygma Berzerk,,You And Me Against The World (ltd ed),,Industrial,5341637,266,,,2,13,2005,14/01/2014 16:45,18/06/2014 14:54,160,44100,,MPEG audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:You And Me Against The World (ltd ed):02 In This Together.mp3
Love To Blame,Apoptygma Berzerk,,You And Me Against The World (ltd ed),,Industrial,4584606,229,,,3,13,2005,14/01/2014 16:45,18/06/2014 14:54,160,44100,,MPEG audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:You And Me Against The World (ltd ed):03 Love To Blame.mp3
You Keep Me From Breaking Apart,Apoptygma Berzerk,,You And Me Against The World (ltd ed),,Industrial,4204804,210,,,4,13,2005,14/01/2014 16:45,18/06/2014 14:54,160,44100,,MPEG audio file,,,,,,,,Macintosh HD:Users:boxcat:Music:iTunes:iTunes Media:Music:Apoptygma Berzerk:You And Me Against The World (ltd ed):04 You Keep Me From Breaking Apart.mp3
